iter	Passed	Remaining
974	7048	180
975	7055	173
976	7063	166
977	7070	159
978	7077	151
979	7084	144
980	7097	137
981	7107	130
982	7114	123
983	7121	115
984	7129	108
985	7138	101
986	7146	94
987	7159	86
988	7173	79
989	7182	72
990	7196	65
991	7206	58
992	7214	50
993	7232	43
994	7242	36
995	7251	29
996	7261	21
997	7272	14
998	7283	7
999	7293	0
